Feasibility Group,Stack ID,Data Platform,CI/CD,Orchestration,Problem Code,Problem,Best Approach 1,Best Approach 2,Best Approach 3,Rationale for This Stack,Less Suitable / Likely Blocked
Group 1 - Lowest barriers,S09,Azure Synapse,Azure DevOps,Azure Data Factory,A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
Group 1 - Lowest barriers,S09,Azure Synapse,Azure DevOps,Azure Data Factory,B,Delta generation complexity,Deployment history / state table,Manifest-driven deployment,Package each generation as an immutable release artifact,Warehouse/database targets need an auditable executed-state model.,Avoid relying only on Git diff or commit order.
Group 1 - Lowest barriers,S09,Azure Synapse,Azure DevOps,Azure Data Factory,C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 1 - Lowest barriers,S09,Azure Synapse,Azure DevOps,Azure Data Factory,D,Deployment order and dependency risks,Stage-based deployment order,Pre-deployment dependency validation,Target-specific order rules / adapter,"The orchestrator can enforce phased execution, but order rules still need target awareness.",Avoid flat script execution without dependency checks.
Group 1 - Lowest barriers,S09,Azure Synapse,Azure DevOps,Azure Data Factory,E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 1 - Lowest barriers,S09,Azure Synapse,Azure DevOps,Azure Data Factory,F,FMC deployment,Separate FMC deployment stage,FMC pipeline templates per target,FMC capability matrix,These stacks benefit from a separate FMC flow plus target-specific handoff patterns.,Avoid one universal FMC execution method for all targets.
Group 1 - Lowest barriers,S09,Azure Synapse,Azure DevOps,Azure Data Factory,G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 1 - Lowest barriers,S09,Azure Synapse,Azure DevOps,Azure Data Factory,H,dbt Cloud deployment,Separate dbt deployment mode,dbt Core alternative path,Separate governance path for dbt deployments,"For legacy or non-dbt stacks, dbt should be an optional side-path with separate governance.",Avoid forcing dbt Cloud into stacks that are not ready for it.
Group 1 - Lowest barriers,S09,Azure Synapse,Azure DevOps,Azure Data Factory,I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 1 - Lowest barriers,S11,Snowflake,Azure DevOps,Azure Data Factory,A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
Group 1 - Lowest barriers,S11,Snowflake,Azure DevOps,Azure Data Factory,B,Delta generation complexity,Deployment history / state table,Manifest-driven deployment,Package each generation as an immutable release artifact,Warehouse/database targets need an auditable executed-state model.,Avoid relying only on Git diff or commit order.
